/ d 755 4096 0 0 5 24 6 46
home d 755 4096 0 0 5 24 6 46 /
os d 755 12 1 1 5 24 6 46 /home
aa d 755 11 1 1 5 24 6 46 /home/os
bb d 755 4096 1 1 5 24 6 46 /home/os
cc d 755 4096 1 1 5 24 8 3 /home/os
yes d 755 4096 1 1 5 24 6 46 /home/os/bb
no d 755 4096 1 1 5 24 6 46 /home/os/bb/yes
test1 d 755 4096 1 1 5 24 6 46 /home/os/aa
test2 d 755 4096 1 1 5 24 6 46 /home/os/aa
hello.txt f 644 12 1 1 5 25 22 9 /home/os/aa
dd d 755 4096 1 1 5 25 2 17 /home/os/aa
.abc d 755 4096 1 1 5 25 4 44 /home/os/aa
ccc d 755 4096 1 1 5 24 6 46 /home/os/aa/test2
