/ d 755 4096 0 0 5 24 6 46
bin d 755 4096 0 0 6 1 1 22 /
dev d 755 4096 0 0 6 1 1 23 /
lib64 d 755 4096 0 0 6 1 1 23 /
mnt d 755 4096 0 0 6 1 1 23 /
root d 700 4096 0 0 6 1 1 23 /
snap d 755 4096 0 0 6 1 1 23 /
sys d 755 4096 0 0 6 1 1 23 /
var d 755 4096 0 0 6 1 1 23 /
boot d 755 4096 0 0 6 1 1 23 /
etc d 755 4096 0 0 6 1 1 23 /
lost+found d 700 4096 0 0 6 1 1 23 /
opt d 755 4096 0 0 6 1 1 23 /
run d 755 4096 0 0 6 1 1 23 /
srv d 755 4096 0 0 6 1 1 23 /
cdrom d 755 4096 0 0 6 1 1 24 /
home d 755 4096 0 0 6 1 1 24 /
lib d 755 4096 0 0 6 1 1 24 /
media d 755 4096 0 0 6 1 1 24 /
proc d 755 4096 0 0 6 1 1 24 /
sbin d 755 4096 0 0 6 1 1 24 /
usr d 755 4096 0 0 6 1 1 24 /
os d 755 4096 1000 1000 6 1 1 25 /home
rae d 755 4096 1001 1001 6 1 1 25 /home
.cache d 700 4096 1000 1000 6 1 1 28 /home/os
.config d 700 4096 1000 1000 6 1 1 28 /home/os
.gnupg d 700 4096 1000 1000 6 1 1 29 /home/os
.local d 700 4096 1000 1000 6 1 1 29 /home/os
공개 d 755 4096 1000 1000 6 1 1 29 /home/os
다운로드 d 755 4096 1000 1000 6 1 1 29 /home/os
문서 d 755 4096 1000 1000 6 1 1 29 /home/os
바탕화면 d 755 4096 1000 1000 6 1 1 29 /home/os
비디오 d 755 4096 1000 1000 6 1 1 30 /home/os
사진 d 755 4096 1000 1000 6 1 1 30 /home/os
음악 d 755 4096 1000 1000 6 1 1 31 /home/os
템플릿 d 755 4096 1000 1000 6 1 1 31 /home/os
aa d 755 4096 1000 1000 6 1 1 42 /home/os/바탕화면
bb d 755 4096 1001 1001 6 1 1 42 /home/os/바탕화면
cc d 200 4096 1000 1000 6 1 1 42 /home/os/바탕화면
hi f 644 5 1000 1000 6 1 1 47 /home/os/바탕화면
abc d 755 4096 1000 1000 6 1 1 45 /home/os/바탕화면/aa
def d 755 4096 1000 1000 6 1 1 45 /home/os/바탕화면/aa/abc
hello.txt f 644 20 1000 1000 6 1 1 40 /home/os/문서
hello f 666 16 1000 1000 6 10 3 3 /home/os/문서
